#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  13600      2.62e+00    2.54e+00      1.43e-02    1.50e-02      8.71e-02    8.45e-02    9.0e-04
  13700      1.66e+00    2.19e+00      5.87e-02    5.89e-02      5.51e-02    7.29e-02    9.0e-04
  13800      1.49e+00    2.05e+00      1.96e-02    2.05e-02      4.96e-02    6.83e-02    9.0e-04
  13900      1.64e+00    9.88e-01      5.30e-04    4.93e-04      5.47e-02    3.29e-02    9.0e-04
  14000      1.18e+00    1.10e+00      1.33e-02    1.32e-02      3.92e-02    3.66e-02    9.0e-04
  14100      1.47e+00    1.57e+00      3.86e-02    3.88e-02      4.88e-02    5.23e-02    9.0e-04
  14200      1.24e+00    1.27e+00      7.50e-02    7.42e-02      4.12e-02    4.23e-02    9.0e-04
  14300      1.25e+00    1.09e+00      5.23e-02    5.23e-02      4.15e-02    3.63e-02    9.0e-04
  14400      1.38e+00    1.10e+00      2.61e-02    2.62e-02      4.59e-02    3.67e-02    9.0e-04
  14500      2.66e+00    2.87e+00      2.38e-01    2.38e-01      8.83e-02    9.54e-02    9.0e-04
  14600      1.51e+00    1.53e+00      1.85e-02    1.85e-02      5.04e-02    5.09e-02    9.0e-04
  14700      2.17e+00    1.98e+00      5.11e-02    5.19e-02      7.24e-02    6.60e-02    9.0e-04
  14800      7.79e-01    8.26e-01      4.04e-02    4.05e-02      2.59e-02    2.75e-02    9.0e-04
  14900      1.85e+00    2.37e+00      4.41e-02    4.37e-02      6.15e-02    7.89e-02    9.0e-04
  15000      1.04e+00    2.09e+00      4.17e-03    4.64e-03      3.54e-02    7.13e-02    8.6e-04
  15100      1.77e+00    1.85e+00      4.05e-02    4.09e-02      6.04e-02    6.32e-02    8.6e-04
  15200      1.65e+00    1.85e+00      1.30e-02    1.33e-02      5.64e-02    6.32e-02    8.6e-04
  15300      9.42e-01    1.01e+00      2.36e-02    2.32e-02      3.22e-02    3.46e-02    8.6e-04
  15400      9.60e-01    1.51e+00      5.89e-02    5.97e-02      3.27e-02    5.15e-02    8.6e-04
  15500      1.04e+00    7.27e-01      7.18e-03    7.27e-03      3.54e-02    2.48e-02    8.6e-04
  15600      1.17e+00    8.93e-01      1.37e-02    1.30e-02      4.01e-02    3.05e-02    8.6e-04
  15700      7.03e-01    1.83e+00      3.09e-02    3.19e-02      2.40e-02    6.24e-02    8.6e-04
  15800      1.53e+00    1.83e+00      1.71e-02    1.66e-02      5.22e-02    6.25e-02    8.6e-04
  15900      1.32e+00    8.21e-01      2.13e-02    2.21e-02      4.51e-02    2.80e-02    8.6e-04
  16000      1.35e+00    1.74e+00      3.60e-02    3.64e-02      4.60e-02    5.93e-02    8.6e-04
  16100      2.20e+00    1.67e+00      6.84e-02    6.66e-02      7.51e-02    5.68e-02    8.6e-04
  16200      2.11e+00    2.13e+00      2.07e-03    1.13e-03      7.21e-02    7.28e-02    8.6e-04
  16300      9.91e-01    8.27e-01      5.53e-04    6.67e-04      3.38e-02    2.82e-02    8.6e-04
  16400      1.13e+00    1.22e+00      5.53e-04    5.77e-04      3.86e-02    4.16e-02    8.6e-04
  16500      1.12e+00    8.76e-01      3.58e-03    4.41e-03      3.82e-02    2.99e-02    8.6e-04
  16600      9.60e-01    1.51e+00      2.77e-02    2.74e-02      3.28e-02    5.15e-02    8.6e-04
  16700      1.07e+00    1.01e+00      6.98e-03    7.20e-03      3.64e-02    3.46e-02    8.6e-04
  16800      2.52e+00    1.79e+00      4.58e-02    4.42e-02      8.61e-02    6.11e-02    8.6e-04
  16900      7.60e-01    7.62e-01      2.65e-02    2.66e-02      2.59e-02    2.60e-02    8.6e-04
  17000      2.29e+00    1.45e+00      1.32e-01    1.34e-01      7.81e-02    4.92e-02    8.6e-04
  17100      1.46e+00    1.35e+00      2.93e-02    3.04e-02      4.98e-02    4.59e-02    8.6e-04
  17200      7.21e-01    6.79e-01      1.29e-02    1.27e-02      2.46e-02    2.32e-02    8.6e-04
  17300      1.26e+00    1.64e+00      1.15e-02    1.11e-02      4.31e-02    5.61e-02    8.6e-04
