#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  12400      4.50e+00    5.20e+00      1.30e-01    1.29e-01      1.50e-01    1.73e-01    9.0e-04
  12500      3.67e+00    5.95e+00      1.50e-02    1.59e-02      1.22e-01    1.98e-01    9.0e-04
  12600      7.28e+00    2.03e+00      4.78e-01    4.83e-01      2.42e-01    6.62e-02    9.0e-04
  12700      4.04e+00    3.79e+00      1.92e-01    1.96e-01      1.34e-01    1.26e-01    9.0e-04
  12800      4.11e+00    5.23e+00      1.79e-01    1.83e-01      1.37e-01    1.74e-01    9.0e-04
  12900      4.74e+00    4.09e+00      1.05e-01    1.10e-01      1.58e-01    1.36e-01    9.0e-04
  13000      2.91e+00    7.04e+00      3.53e-01    3.50e-01      9.62e-02    2.34e-01    9.0e-04
  13100      3.71e+00    3.02e+00      3.74e-02    3.76e-02      1.24e-01    1.01e-01    9.0e-04
  13200      2.05e+00    2.41e+00      1.09e-01    1.10e-01      6.82e-02    8.01e-02    9.0e-04
  13300      5.51e+00    6.46e+00      1.49e-01    1.47e-01      1.83e-01    2.15e-01    9.0e-04
  13400      3.72e+00    1.86e+00      7.39e-02    7.51e-02      1.24e-01    6.19e-02    9.0e-04
  13500      3.32e+00    5.44e+00      1.80e-01    1.78e-01      1.10e-01    1.81e-01    9.0e-04
  13600      2.83e+00    2.11e+00      1.03e-01    1.05e-01      9.41e-02    7.02e-02    9.0e-04
  13700      3.40e+00    2.55e+00      1.14e-01    1.15e-01      1.13e-01    8.49e-02    9.0e-04
  13800      1.33e+00    2.88e+00      1.18e-03    2.25e-03      4.44e-02    9.60e-02    9.0e-04
  13900      2.74e+00    2.74e+00      1.84e-01    1.85e-01      9.11e-02    9.12e-02    9.0e-04
  14000      2.45e+00    2.04e+00      3.81e-01    3.83e-01      8.08e-02    6.71e-02    9.0e-04
  14100      4.12e+00    3.89e+00      1.87e-01    1.81e-01      1.37e-01    1.29e-01    9.0e-04
  14200      2.91e+00    2.14e+00      2.78e-01    2.76e-01      9.66e-02    7.07e-02    9.0e-04
  14300      4.52e+00    6.28e+00      1.43e-02    1.58e-02      1.50e-01    2.09e-01    9.0e-04
  14400      3.77e+00    3.39e+00      1.41e-01    1.41e-01      1.25e-01    1.13e-01    9.0e-04
  14500      1.91e+00    2.20e+00      6.83e-02    6.68e-02      6.34e-02    7.33e-02    9.0e-04
  14600      3.68e+00    3.05e+00      1.83e-01    1.81e-01      1.22e-01    1.02e-01    9.0e-04
  14700      2.52e+00    2.27e+00      1.50e-01    1.48e-01      8.39e-02    7.55e-02    9.0e-04
  14800      2.92e+00    5.08e+00      1.01e-01    1.04e-01      9.72e-02    1.69e-01    9.0e-04
  14900      2.91e+00    4.48e+00      1.97e-01    1.98e-01      9.68e-02    1.49e-01    9.0e-04
  15000      3.98e+00    2.92e+00      1.80e-01    1.83e-01      1.36e-01    9.95e-02    8.6e-04
  15100      4.83e+00    5.65e+00      5.10e-01    5.09e-01      1.64e-01    1.92e-01    8.6e-04
  15200      1.96e+00    2.13e+00      9.57e-02    9.44e-02      6.67e-02    7.26e-02    8.6e-04
  15300      2.85e+00    3.11e+00      7.29e-02    7.14e-02      9.72e-02    1.06e-01    8.6e-04
  15400      2.39e+00    4.47e+00      6.51e-02    6.45e-02      8.17e-02    1.53e-01    8.6e-04
  15500      4.99e+00    2.29e+00      3.19e-02    3.70e-02      1.71e-01    7.81e-02    8.6e-04
  15600      1.12e+00    2.79e+00      5.69e-02    5.60e-02      3.82e-02    9.51e-02    8.6e-04
  15700      3.30e+00    2.00e+00      2.99e-02    2.64e-02      1.13e-01    6.83e-02    8.6e-04
  15800      2.37e+00    2.29e+00      3.64e-02    3.52e-02      8.08e-02    7.81e-02    8.6e-04
  15900      3.50e+00    2.34e+00      1.20e-01    1.19e-01      1.19e-01    7.98e-02    8.6e-04
  16000      3.15e+00    1.19e+00      2.78e-03    2.96e-03      1.07e-01    4.06e-02    8.6e-04
  16100      4.62e+00    5.44e+00      3.67e-02    3.51e-02      1.58e-01    1.86e-01    8.6e-04
  16200      3.62e+00    5.68e+00      9.02e-02    8.10e-02      1.24e-01    1.94e-01    8.6e-04
  16300      1.38e+00    1.38e+00      7.05e-02    7.13e-02      4.70e-02    4.70e-02    8.6e-04
  16400      2.43e+00    3.46e+00      4.25e-02    4.48e-02      8.30e-02    1.18e-01    8.6e-04
  16500      5.06e+00    3.93e+00      1.01e-01    1.03e-01      1.73e-01    1.34e-01    8.6e-04
  16600      3.29e+00    2.84e+00      1.94e-01    1.96e-01      1.12e-01    9.68e-02    8.6e-04
  16700      4.24e+00    3.80e+00      7.76e-02    8.11e-02      1.45e-01    1.30e-01    8.6e-04
  16800      3.86e+00    3.96e+00      1.66e-01    1.68e-01      1.32e-01    1.35e-01    8.6e-04
  16900      4.20e+00    4.96e+00      2.91e-02    2.49e-02      1.44e-01    1.69e-01    8.6e-04
  17000      1.84e+00    2.03e+00      3.50e-03    3.63e-03      6.29e-02    6.93e-02    8.6e-04
  17100      4.81e+00    4.48e+00      1.18e-01    1.21e-01      1.64e-01    1.53e-01    8.6e-04
  17200      3.59e+00    3.74e+00      6.53e-02    6.59e-02      1.22e-01    1.28e-01    8.6e-04
  17300      2.83e+00    1.74e+00      1.74e-01    1.73e-01      9.63e-02    5.90e-02    8.6e-04
  17400      2.65e+00    2.67e+00      4.91e-02    4.96e-02      9.05e-02    9.10e-02    8.6e-04
  17500      2.19e+00    1.78e+00      8.71e-02    8.63e-02      7.48e-02    6.07e-02    8.6e-04
  17600      1.29e+00    1.85e+00      2.69e-02    2.74e-02      4.42e-02    6.32e-02    8.6e-04
  17700      1.61e+00    1.55e+00      1.50e-01    1.46e-01      5.49e-02    5.26e-02    8.6e-04
  17800      2.68e+00    1.96e+00      2.02e-01    2.01e-01      9.14e-02    6.66e-02    8.6e-04
  17900      4.08e+00    2.30e+00      1.11e-01    1.13e-01      1.39e-01    7.84e-02    8.6e-04
  18000      1.49e+00    1.41e+00      1.58e-02    1.40e-02      5.10e-02    4.80e-02    8.6e-04
  18100      2.95e+00    2.21e+00      1.59e-01    1.61e-01      1.00e-01    7.53e-02    8.6e-04
  18200      2.56e+00    2.27e+00      2.71e-02    3.09e-02      8.75e-02    7.76e-02    8.6e-04
  18300      3.66e+00    2.45e+00      2.00e-01    2.02e-01      1.25e-01    8.35e-02    8.6e-04
  18400      5.64e+00    5.07e+00      1.79e-01    1.78e-01      1.93e-01    1.73e-01    8.6e-04
  18500      1.87e+00    1.11e+00      5.52e-02    5.58e-02      6.39e-02    3.78e-02    8.6e-04
  18600      1.90e+00    2.83e+00      2.19e-02    2.26e-02      6.47e-02    9.65e-02    8.6e-04
  18700      1.68e+00    1.43e+00      3.99e-02    3.99e-02      5.75e-02    4.90e-02    8.6e-04
  18800      5.70e+00    2.31e+00      2.88e-02    3.00e-02      1.95e-01    7.88e-02    8.6e-04
  18900      1.79e+00    1.66e+00      1.11e-01    1.11e-01      6.08e-02    5.66e-02    8.6e-04
  19000      4.68e+00    6.53e+00      4.17e-02    3.87e-02      1.60e-01    2.23e-01    8.6e-04
  19100      1.06e+00    1.84e+00      3.51e-02    3.63e-02      3.60e-02    6.28e-02    8.6e-04
  19200      2.19e+00    4.31e+00      3.02e-02    3.13e-02      7.47e-02    1.47e-01    8.6e-04
  19300      2.44e+00    3.46e+00      2.08e-01    2.09e-01      8.30e-02    1.18e-01    8.6e-04
  19400      1.58e+00    4.31e+00      4.21e-02    3.99e-02      5.38e-02    1.47e-01    8.6e-04
  19500      3.00e+00    2.00e+00      5.84e-02    5.86e-02      1.02e-01    6.82e-02    8.6e-04
  19600      2.11e+00    3.93e+00      5.43e-02    5.63e-02      7.21e-02    1.34e-01    8.6e-04
  19700      1.35e+00    4.10e+00      8.18e-03    6.56e-03      4.61e-02    1.40e-01    8.6e-04
  19800      2.11e+00    2.78e+00      3.79e-02    3.80e-02      7.22e-02    9.49e-02    8.6e-04
  19900      2.34e+00    1.80e+00      4.44e-02    4.21e-02      7.98e-02    6.16e-02    8.6e-04
  20000      2.44e+00    1.57e+00      5.25e-02    5.59e-02      8.54e-02    5.48e-02    8.1e-04
  20100      2.97e+00    2.65e+00      2.23e-02    2.50e-02      1.04e-01    9.29e-02    8.1e-04
  20200      3.96e+00    4.00e+00      1.40e-01    1.38e-01      1.39e-01    1.40e-01    8.1e-04
  20300      1.22e+00    1.26e+00      1.13e-01    1.12e-01      4.24e-02    4.40e-02    8.1e-04
  20400      1.68e+00    1.65e+00      2.43e-02    2.26e-02      5.89e-02    5.78e-02    8.1e-04
  20500      2.90e+00    2.87e+00      1.13e-02    1.22e-02      1.02e-01    1.01e-01    8.1e-04
  20600      2.39e+00    2.06e+00      1.10e-01    1.07e-01      8.36e-02    7.20e-02    8.1e-04
  20700      2.88e+00    1.37e+00      6.64e-02    7.04e-02      1.01e-01    4.81e-02    8.1e-04
  20800      1.84e+00    1.52e+00      2.12e-02    2.12e-02      6.45e-02    5.31e-02    8.1e-04
  20900      2.49e+00    2.75e+00      2.73e-02    2.62e-02      8.71e-02    9.62e-02    8.1e-04
  21000      3.05e+00    2.86e+00      2.99e-02    3.21e-02      1.07e-01    1.00e-01    8.1e-04
  21100      1.52e+00    1.18e+00      2.96e-02    2.95e-02      5.33e-02    4.12e-02    8.1e-04
  21200      2.11e+00    2.15e+00      5.33e-02    5.29e-02      7.40e-02    7.52e-02    8.1e-04
  21300      2.89e+00    4.34e+00      8.13e-02    7.96e-02      1.01e-01    1.52e-01    8.1e-04
  21400      2.14e+00    2.28e+00      8.18e-02    7.99e-02      7.48e-02    7.99e-02    8.1e-04
  21500      1.35e+00    2.21e+00      3.85e-03    4.72e-03      4.71e-02    7.73e-02    8.1e-04
  21600      2.09e+00    3.68e+00      7.79e-02    8.16e-02      7.32e-02    1.29e-01    8.1e-04
  21700      2.59e+00    3.18e+00      4.10e-02    4.20e-02      9.07e-02    1.12e-01    8.1e-04
  21800      1.89e+00    1.82e+00      1.48e-02    1.52e-02      6.63e-02    6.36e-02    8.1e-04
  21900      3.54e+00    5.13e+00      1.43e-01    1.45e-01      1.24e-01    1.80e-01    8.1e-04
  22000      1.27e+00    1.52e+00      6.87e-02    6.86e-02      4.45e-02    5.31e-02    8.1e-04
  22100      3.27e+00    2.31e+00      4.69e-02    4.73e-02      1.14e-01    8.08e-02    8.1e-04
  22200      1.81e+00    1.38e+00      3.46e-02    3.20e-02      6.34e-02    4.85e-02    8.1e-04
  22300      1.59e+00    2.39e+00      4.82e-02    4.67e-02      5.56e-02    8.38e-02    8.1e-04
  22400      1.03e+00    1.30e+00      7.54e-02    7.57e-02      3.59e-02    4.55e-02    8.1e-04
  22500      1.56e+00    1.68e+00      1.02e-01    1.03e-01      5.46e-02    5.88e-02    8.1e-04
  22600      1.25e+00    1.04e+00      4.02e-02    3.98e-02      4.36e-02    3.65e-02    8.1e-04
  22700      2.85e+00    1.84e+00      1.87e-01    1.88e-01      9.96e-02    6.42e-02    8.1e-04
  22800      1.76e+00    3.04e+00      1.05e-01    1.02e-01      6.15e-02    1.06e-01    8.1e-04
  22900      2.80e+00    4.58e+00      6.50e-02    6.29e-02      9.81e-02    1.60e-01    8.1e-04
  23000      3.99e+00    1.23e+00      7.05e-02    7.63e-02      1.40e-01    4.32e-02    8.1e-04
  23100      1.34e+00    1.22e+00      1.48e-01    1.48e-01      4.66e-02    4.24e-02    8.1e-04
  23200      2.25e+00    2.13e+00      6.89e-02    6.70e-02      7.87e-02    7.45e-02    8.1e-04
  23300      4.03e+00    5.34e+00      8.91e-02    8.08e-02      1.41e-01    1.87e-01    8.1e-04
  23400      2.46e+00    1.07e+00      6.27e-02    5.81e-02      8.63e-02    3.74e-02    8.1e-04
  23500      2.81e+00    2.62e+00      1.03e-01    1.05e-01      9.83e-02    9.18e-02    8.1e-04
  23600      3.10e+00    2.77e+00      2.00e-01    2.01e-01      1.08e-01    9.67e-02    8.1e-04
  23700      1.72e+00    1.83e+00      4.73e-02    4.67e-02      6.01e-02    6.39e-02    8.1e-04
  23800      2.14e+00    2.06e+00      2.03e-01    2.04e-01      7.46e-02    7.17e-02    8.1e-04
  23900      1.55e+00    4.55e+00      4.63e-02    4.47e-02      5.44e-02    1.59e-01    8.1e-04
  24000      2.72e+00    1.11e+00      6.31e-02    6.77e-02      9.53e-02    3.89e-02    8.1e-04
  24100      2.58e+00    1.92e+00      1.78e-01    1.80e-01      8.99e-02    6.70e-02    8.1e-04
  24200      3.47e+00    1.50e+00      1.18e-01    1.21e-01      1.21e-01    5.24e-02    8.1e-04
  24300      3.44e+00    3.55e+00      7.96e-02    7.92e-02      1.21e-01    1.24e-01    8.1e-04
  24400      1.65e+00    1.41e+00      3.69e-02    3.67e-02      5.79e-02    4.94e-02    8.1e-04
  24500      2.51e+00    4.21e+00      7.28e-03    1.02e-02      8.80e-02    1.47e-01    8.1e-04
  24600      1.82e+00    1.36e+00      1.83e-01    1.81e-01      6.32e-02    4.70e-02    8.1e-04
  24700      3.11e+00    1.22e+00      3.56e-02    3.02e-02      1.09e-01    4.29e-02    8.1e-04
  24800      1.90e+00    1.53e+00      2.13e-02    2.14e-02      6.65e-02    5.37e-02    8.1e-04
  24900      1.48e+00    1.15e+00      8.57e-02    8.53e-02      5.16e-02    4.02e-02    8.1e-04
  25000      1.60e+00    1.08e+00      9.11e-02    9.12e-02      5.73e-02    3.85e-02    7.7e-04
  25100      1.77e+00    1.48e+00      2.44e-02    2.54e-02      6.38e-02    5.32e-02    7.7e-04
  25200      2.79e+00    1.34e+00      5.88e-02    6.54e-02      1.00e-01    4.80e-02    7.7e-04
  25300      6.91e-01    9.56e-01      2.06e-03    2.01e-03      2.48e-02    3.44e-02    7.7e-04
  25400      9.36e-01    6.99e-01      8.26e-03    8.91e-03      3.36e-02    2.51e-02    7.7e-04
  25500      1.81e+00    1.16e+00      6.70e-02    6.51e-02      6.51e-02    4.15e-02    7.7e-04
  25600      1.86e+00    1.56e+00      1.80e-02    2.05e-02      6.70e-02    5.60e-02    7.7e-04
  25700      3.57e+00    2.21e+00      1.36e-01    1.39e-01      1.28e-01    7.92e-02    7.7e-04
